id,name,country,region,maxAltitude,elevationGain,averageGradient,maxGradient,distance,difficulty,coordinates_lat,coordinates_lng,description,imageUrl,category
alpe-dhuez,"Alpe d'Huez","France","Alpes",1850,1071,8.1,13,13.2,"Especial",45.0914,6.0669,"Subida legendaria con 21 curvas de herradura, conocida como la Montaña Holandesa por su popularidad entre los aficionados neerlandeses.","https://images.pexels.com/photos/1666021/pexels-photo-1666021.jpeg","Alpes"
mont-ventoux,"Mont Ventoux","France","Provence",1912,1617,7.5,12,21.5,"Especial",44.1734,5.2785,"El Gigante de la Provenza, una cumbre árida como un paisaje lunar que ha roto muchos sueños del Tour de Francia.","https://images.pexels.com/photos/1578662/pexels-photo-1578662.jpeg","Provenza"
col-du-tourmalet,"Col du Tourmalet","France","Pyrenees",2115,1268,7.4,10.2,17.1,"Primera",42.9067,0.1444,"El gigante de los Pirineos, uno de los puertos más emblemáticos del Tour de Francia con vistas espectaculares.","https://images.pexels.com/photos/1761279/pexels-photo-1761279.jpeg","Pirineos"
stelvio-pass,"Passo dello Stelvio","Italy","Lombardy",2757,1808,7.4,12.8,24.3,"Especial",46.5281,10.4520,"El segundo puerto asfaltado más alto de Europa, famoso por sus 48 curvas de herradura y vistas espectaculares de los Alpes.","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg","Dolomitas"
angliru,"Alto del Angliru","Spain","Asturias",1573,1266,10.1,23.6,12.5,"Especial",43.2167,-5.9167,"Una de las subidas más duras del mundo con rampas que superan el 20% de pendiente. Conocido como el muro asturiano.","https://images.pexels.com/photos/1578662/pexels-photo-1578662.jpeg","Otros"
hardknott-pass,"Hardknott Pass","England","Lake District",393,335,10.2,30,3.3,"Primera",54.4000,-3.2000,"Una de las carreteras más empinadas de Inglaterra con pendientes extremas y curvas cerradas en el corazón del Lake District.","https://images.pexels.com/photos/1761279/pexels-photo-1761279.jpeg","Otros"
mortirolo,"Passo del Mortirolo","Italy","Lombardy",1852,1300,10.5,18,12.4,"Especial",46.2833,10.3167,"Conocido como uno de los puertos más duros de Italia, con pendientes sostenidas superiores al 10% y rampas que alcanzan el 18%.","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg","Dolomitas"
zoncolan,"Monte Zoncolan","Italy","Friuli",1750,1210,11.9,22,10.1,"Especial",46.5167,12.9833,"Apodado el Kaiser por su dureza extrema, con pendientes medias superiores al 11% y rampas que superan el 20%.","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg","Dolomitas"
veleta,"Pico Veleta","Spain","Sierra Nevada",3398,2200,6.8,14,32.4,"Especial",37.0583,-3.3667,"La carretera asfaltada más alta de Europa, que asciende hasta los 3.398 metros en Sierra Nevada con vistas impresionantes.","https://images.pexels.com/photos/1578662/pexels-photo-1578662.jpeg","Otros"
example-pass,"Puerto de Ejemplo","España","Ejemplo",1500,800,7.0,12.0,15.0,"Segunda",40.0000,-3.0000,"Descripción de ejemplo para un puerto de montaña. Aquí puedes añadir información detallada sobre la subida.","https://images.pexels.com/photos/1666021/pexels-photo-1666021.jpeg","Otros"